2019-06-05,63000.000000,64000.000000,60800.000000,62200.000000,62200.000000,2104
2019-06-07,61600.000000,63000.000000,61500.000000,62000.000000,62000.000000,1238
2019-06-10,62000.000000,62900.000000,61400.000000,62400.000000,62400.000000,2444
2019-06-11,62400.000000,63400.000000,61500.000000,62800.000000,62800.000000,2923
2019-06-12,62400.000000,64800.000000,62400.000000,64200.000000,64200.000000,4939
2019-06-13,64400.000000,65500.000000,63200.000000,64100.000000,64100.000000,2418
2019-06-14,63700.000000,65200.000000,63100.000000,64100.000000,64100.000000,1638
2019-06-17,64500.000000,64500.000000,61000.000000,61700.000000,61700.000000,1775
2019-06-18,61800.000000,62800.000000,60800.000000,61200.000000,61200.000000,1015
2019-06-19,62200.000000,62200.000000,60400.000000,61200.000000,61200.000000,1120
2019-06-20,61200.000000,62000.000000,61000.000000,62000.000000,62000.000000,718
2019-06-21,62200.000000,62500.000000,60800.000000,62000.000000,62000.000000,1780
2019-06-24,62000.000000,62600.000000,60500.000000,60500.000000,60500.000000,1664
2019-06-25,60700.000000,61500.000000,60300.000000,60600.000000,60600.000000,1323
2019-06-26,60600.000000,61900.000000,60400.000000,61100.000000,61100.000000,1469
2019-06-27,61100.000000,62000.000000,61100.000000,61800.000000,61800.000000,882
2019-06-28,null,null,null,null,null,null
2019-07-01,60800.000000,61200.000000,60100.000000,60100.000000,60100.000000,897
2019-07-02,60100.000000,62100.000000,59900.000000,61500.000000,61500.000000,2256
2019-07-03,63100.000000,63100.000000,60900.000000,61100.000000,61100.000000,542
2019-07-04,60100.000000,61300.000000,59900.000000,60400.000000,60400.000000,786
2019-07-05,60000.000000,60800.000000,59700.000000,60300.000000,60300.000000,760
2019-07-08,60400.000000,60400.000000,58000.000000,58700.000000,58700.000000,1299
2019-07-09,58800.000000,58900.000000,56500.000000,56700.000000,56700.000000,1490
2019-07-10,56700.000000,57700.000000,56000.000000,57100.000000,57100.000000,556
2019-07-11,57100.000000,60000.000000,57100.000000,58300.000000,58300.000000,422
2019-07-12,59800.000000,59900.000000,58400.000000,59000.000000,59000.000000,498
2019-07-15,60000.000000,60800.000000,58500.000000,59300.000000,59300.000000,415
2019-07-16,59800.000000,60500.000000,58600.000000,60500.000000,60500.000000,999
2019-07-17,59100.000000,60100.000000,59100.000000,59400.000000,59400.000000,580
2019-07-18,59400.000000,60000.000000,58800.000000,58800.000000,58800.000000,235
2019-07-19,58800.000000,59800.000000,58800.000000,59800.000000,59800.000000,468
2019-07-22,60000.000000,60000.000000,59400.000000,59900.000000,59900.000000,590
2019-07-23,61000.000000,61000.000000,58400.000000,59200.000000,59200.000000,622
2019-07-24,60000.000000,60000.000000,58200.000000,59200.000000,59200.000000,468
2019-07-25,58100.000000,58400.000000,56700.000000,57000.000000,57000.000000,1851
2019-07-26,57000.000000,57000.000000,54800.000000,54800.000000,54800.000000,1230
2019-07-29,57500.000000,57500.000000,50000.000000,50200.000000,50200.000000,2783
2019-07-30,50300.000000,52200.000000,49600.000000,51500.000000,51500.000000,1468
2019-07-31,51200.000000,52800.000000,51100.000000,52500.000000,52500.000000,784
2019-08-01,52700.000000,54900.000000,52500.000000,53000.000000,53000.000000,985
2019-08-02,null,null,null,null,null,null
2019-08-05,51500.000000,51500.000000,48800.000000,49200.000000,49200.000000,1560
2019-08-06,48200.000000,54000.000000,43000.000000,49000.000000,49000.000000,1997
2019-08-07,49000.000000,52000.000000,48500.000000,50400.000000,50400.000000,1197
2019-08-08,52800.000000,52800.000000,50200.000000,51500.000000,51500.000000,1013
2019-08-09,51500.000000,51700.000000,50500.000000,51500.000000,51500.000000,771
2019-08-12,51500.000000,51700.000000,51000.000000,51700.000000,51700.000000,822
2019-08-13,51700.000000,51700.000000,50000.000000,51700.000000,51700.000000,767
2019-08-14,51000.000000,52700.000000,51000.000000,51600.000000,51600.000000,1573
2019-08-16,54500.000000,54500.000000,51000.000000,52000.000000,52000.000000,660
2019-08-19,52000.000000,61000.000000,52000.000000,55300.000000,55300.000000,15757
2019-08-20,55200.000000,58000.000000,53700.000000,56300.000000,56300.000000,4667
2019-08-21,57200.000000,57200.000000,54700.000000,55600.000000,55600.000000,2664
2019-08-22,54800.000000,56000.000000,54800.000000,55400.000000,55400.000000,869
2019-08-23,55000.000000,55500.000000,53900.000000,55300.000000,55300.000000,1392
2019-08-26,54100.000000,55500.000000,52200.000000,53100.000000,53100.000000,2797
2019-08-27,53300.000000,55400.000000,53100.000000,53600.000000,53600.000000,672
2019-08-28,55500.000000,55500.000000,53400.000000,53900.000000,53900.000000,285
2019-08-29,54100.000000,54200.000000,53200.000000,54200.000000,54200.000000,1002
2019-08-30,53500.000000,58600.000000,53500.000000,56500.000000,56500.000000,7074
2019-09-02,54300.000000,56400.000000,54300.000000,55400.000000,55400.000000,2219
2019-09-03,null,null,null,null,null,null
2019-09-04,54900.000000,55600.000000,54500.000000,55500.000000,55500.000000,826
2019-09-05,56800.000000,56800.000000,55300.000000,56300.000000,56300.000000,1347
2019-09-06,57500.000000,59500.000000,56800.000000,57600.000000,57600.000000,2466
2019-09-09,59500.000000,70900.000000,57600.000000,60900.000000,60900.000000,73348
